,id,name,last_modified
105,1009178,Beef,1969-12-31T19:00:00-0500
106,1009179,Beetle (Abner Jenkins),1969-12-31T19:00:00-0500
107,1011793,Belasco,2021-08-27T18:00:45-0400
108,1009329,Ben Grimm,2011-03-18T12:27:31-0400
109,1009489,Ben Parker,1969-12-31T19:00:00-0500
110,1011346,Ben Reilly,1969-12-31T19:00:00-0500
111,1010782,Ben Urich,1969-12-31T19:00:00-0500
112,1010829,Bengal,2013-10-24T13:01:00-0400
113,1009180,Beta-Ray Bill,2013-10-17T14:41:43-0400
114,1011907,Bethany Cabe,2021-08-27T18:12:40-0400
115,1010325,Betty Brant,1969-12-31T19:00:00-0500
116,1009548,Betty Ross,2011-10-31T15:42:18-0400
117,1011138,Beyonder,2013-11-20T17:06:32-0500
118,1011296,Bi-Beast,2011-05-24T16:45:33-0400
119,1010843,Big Bertha,1969-12-31T19:00:00-0500
120,1009181,Big Wheel,2012-12-27T15:37:56-0500
121,1011262,Bill Hollister,1969-12-31T19:00:00-0500
122,1009182,Bishop,2013-10-23T12:43:10-0400
123,1011224,Bishop (Ultimate),1969-12-31T19:00:00-0500
124,1009183,Black Bird,1969-12-31T19:00:00-0500
125,1009184,Black Bolt,2013-10-24T14:39:01-0400
126,1017330,Black Bolt (Marvel War of Heroes),2013-09-18T11:01:06-0400
127,1009185,Black Cat,2016-03-07T10:00:52-0500
128,1010910,Black Cat (Ultimate),1969-12-31T19:00:00-0500
129,1010859,Black Crow,1969-12-31T19:00:00-0500
130,1011809,Black Knight (Dane Whitman),2021-08-04T12:06:58-0400
131,1009186,Black Knight (Sir Percy of Scandia),1969-12-31T19:00:00-0500
132,1009187,Black Panther,2018-06-19T16:39:46-0400
133,1017838,Black Panther (Shuri),2021-08-05T15:15:10-0400
134,1011130,Black Panther (Ultimate),2014-03-05T13:19:46-0500
135,1010356,Black Queen,1969-12-31T19:00:00-0500
136,1010687,Black Tarantula,1969-12-31T19:00:00-0500
137,1009188,Black Tom,1969-12-31T19:00:00-0500
138,1009189,Black Widow,2016-01-04T18:09:26-0500
139,1017296,Black Widow (LEGO Marvel Super Heroes),2013-09-18T11:15:15-0400
140,1010911,Black Widow (Ultimate),2014-03-05T13:19:36-0500
141,1011498,Black Widow (Yelena Belova),2021-08-04T10:52:20-0400
142,1017109,Black Widow/Natasha Romanoff (MAA),2013-09-18T15:52:01-0400
143,1009190,Blackheart,1969-12-31T19:00:00-0500
144,1010881,Blacklash,1969-12-31T19:00:00-0500
145,1011349,Blackout,1969-12-31T19:00:00-0500
146,1009191,Blade,2013-10-04T18:29:21-0400
147,1009195,Blastaar,2013-10-24T13:07:25-0400
148,1010830,Blazing Skull,1969-12-31T19:00:00-0500
149,1011291,Blindfold,1969-12-31T19:00:00-0500
150,1011836,Bling!,2021-08-19T00:12:01-0400
151,1009197,Blink,2011-11-14T15:18:17-0500
152,1009198,Blizzard,1969-12-31T19:00:00-0500
153,1009199,Blob,2011-02-09T17:31:11-0500
154,1011132,Blob (Ultimate),1969-12-31T19:00:00-0500
155,1009200,Blockbuster,1969-12-31T19:00:00-0500
