,char_id,com_id
0,1011334,22506
1,1011334,22300
2,1011334,22299
3,1011334,21975
4,1011334,21741
5,1011334,21546
6,1011334,24571
7,1011334,21366
8,1011334,8500
9,1011334,10225
10,1011334,10224
11,1011334,10223
29,1017100,47176
30,1017100,40628
31,1017100,40630
32,1017100,40632
58,1009144,103120
59,1009144,103371
60,1009144,92308
61,1009144,92307
62,1009144,65941
63,1009144,65466
64,1009144,65357
65,1009144,63220
66,1009144,63219
67,1009144,63218
68,1009144,63217
69,1009144,48818
70,1009144,48817
71,1009144,48816
72,1009144,46168
73,1009144,43944
74,1009144,36737
75,1009144,36972
76,1009144,36763
77,1009144,31068
78,1009144,4214
79,1009144,2110
80,1009144,2820
81,1009144,2001
82,1009144,2319
83,1009144,1214
84,1009144,1205
85,1009144,1170
86,1009144,17553
87,1009144,14225
88,1009144,1130
89,1009144,1164
90,1009144,12787
91,1009144,1090
92,1009144,13893
93,1009144,9546
94,1009144,9545
95,1009144,9544
96,1009144,20367
97,1009144,7340
98,1009144,7514
99,1009144,7513
100,1009144,11346
101,1009144,11342
102,1009144,11341
103,1009144,11328
104,1009144,11070
105,1009144,11326
106,1009144,11069
107,1009144,11324
108,1009144,11068
109,1009144,17468
87,1010699,40786
88,1010699,40787
89,1010699,40778
90,1010699,40774
91,1010699,40773
92,1010699,40776
93,1010699,38073
94,1010699,11905
95,1010699,11904
96,1010699,11903
97,1010699,11913
98,1010699,11912
99,1010699,11911
100,1010699,11910
116,1009146,94083
117,1009146,94081
118,1009146,60446
119,1009146,60692
120,1009146,59511
121,1009146,34050
122,1009146,31236
123,1009146,29541
124,1009146,20863
125,1009146,15894
126,1009146,15908
127,1009146,5199
128,1009146,4241
129,1009146,3435
130,1009146,2499
131,1009146,2577
132,1009146,1187
133,1009146,1153
134,1009146,14454
135,1009146,14453
136,1009146,14451
137,1009146,1098
138,1009146,17548
139,1009146,19939
140,1009146,14450
141,1009146,17547
142,1009146,19938
143,1009146,19857
144,1009146,14428
145,1009146,14425
146,1009146,14424
147,1009146,8557
148,1009146,14384
149,1009146,13911
150,1009146,9285
151,1009146,9284
152,1009146,9283
153,1009146,14366
154,1009146,9270
155,1009146,9243
156,1009146,16877
157,1009146,9195
158,1009146,15522
159,1009146,9194
160,1009146,9193
161,1009146,9177
162,1009146,9175
163,1009146,9125
164,1009146,9011
165,1009146,9007
166,1009146,9006
167,1009146,9005
168,1009146,8982
169,1009146,8948
170,1009146,11439
145,1016823,40638
146,1016823,15717
174,1009148,91714
175,1009148,91713
176,1009148,91712
177,1009148,91711
178,1009148,91710
179,1009148,68619
180,1009148,67140
181,1009148,66777
182,1009148,65327
183,1009148,66533
184,1009148,64278
185,1009148,63662
186,1009148,55857
187,1009148,55856
188,1009148,55855
189,1009148,55854
190,1009148,55853
191,1009148,55851
192,1009148,55849
193,1009148,43507
194,1009148,36484
195,1009148,36479
196,1009148,38452
197,1009148,36480
198,1009148,39848
199,1009148,41433
200,1009148,36481
201,1009148,39536
202,1009148,39537
203,1009148,29795
204,1009148,40977
205,1009148,29794
206,1009148,29474
207,1009148,26285
208,1009148,25977
209,1009148,25976
210,1009148,17685
211,1009148,16625
212,1009148,15902
213,1009148,6277
214,1009148,5985
215,1009148,5234
216,1009148,2542
217,1009148,18810
218,1009148,14459
219,1009148,14458
220,1009148,14457
221,1009148,14456
222,1009148,18682
223,1009148,18681
224,1009148,10498
225,1009148,1023
226,1009148,10493
227,1009148,10492
228,1009148,11905
229,1009148,11904
230,1009148,11903
231,1009148,14108
232,1009148,11908
233,1009148,18650
234,1009148,8499
235,1009148,18649
236,1009148,18648
237,1009148,12783
238,1009148,1072
239,1009148,15541
240,1009148,18636
241,1009148,62015
242,1009148,51044
243,1009148,11818
244,1009148,15516
245,1009148,11764
246,1009148,17776
247,1009148,13151
248,1009148,9159
249,1009148,9158
250,1009148,11704
251,1009148,11703
252,1009148,7142
253,1009148,10589
254,1009148,10588
255,1009148,10580
256,1009148,20428
257,1009148,20427
258,1009148,9072
259,1009148,7046
260,1009148,7045
261,1009148,11535
262,1009148,11534
263,1009148,8936
264,1009148,9699
265,1009148,9698
266,1009148,9697
267,1009148,9696
268,1009148,9690
269,1009148,9689
270,1009148,17469
203,1009149,2539
204,1009149,13972
205,1009149,13970
206,1009149,13947
207,1009149,13946
208,1009149,13945
209,1009149,13943
210,1009149,12386
232,1010903,2539
233,1010903,18099
234,1010903,12386
290,1010354,106817
291,1010354,106816
292,1010354,106815
293,1010354,106814
294,1010354,103119
295,1010354,105920
296,1010354,109106
297,1010354,109103
298,1010354,109107
299,1010354,106810
300,1010354,105140
301,1010354,73526
302,1010354,71572
303,1010354,76749
304,1010354,73554
305,1010354,72781
306,1010354,74762
307,1010354,67151
308,1010354,70422
309,1010354,67147
310,1010354,23033
311,1010354,67349
312,1010354,68656
313,1010354,68653
314,1010354,67022
315,1010354,66964
316,1010354,66684
317,1010354,66801
318,1010354,62151
319,1010354,66429
320,1010354,66436
321,1010354,66425
322,1010354,66428
323,1010354,66435
324,1010354,66283
325,1010354,66158
326,1010354,65547
327,1010354,60482
328,1010354,60442
329,1010354,60678
330,1010354,36073
331,1010354,25305
332,1010354,21016
333,1010354,21081
334,1010354,20885
335,1010354,20731
336,1010354,20686
337,1010354,17645
338,1010354,17405
339,1010354,17271
340,1010354,16222
341,1010354,15902
342,1010354,5858
343,1010354,5637
344,1010354,4241
345,1010354,1903
346,1010354,1607
347,1010354,1451
348,1010354,53
349,1010354,879
350,1010354,813
351,1010354,1289
352,1010354,1292
353,1010354,171
354,1010354,173
355,1010354,1210
356,1010354,175
357,1010354,176
358,1010354,1185
359,1010354,10328
360,1010354,1152
361,1010354,1033
362,1010354,10497
363,1010354,10492
364,1010354,11905
365,1010354,11904
366,1010354,18468
367,1010354,8550
368,1010354,17944
369,1010354,18066
370,1010354,12412
371,1010354,14384
372,1010354,13911
373,1010354,14382
374,1010354,8552
375,1010354,62627
376,1010354,62626
377,1010354,62625
378,1010354,62624
379,1010354,21141
380,1010354,18017
381,1010354,18449
382,1010354,18448
383,1010354,18447
384,1010354,18445
385,1010354,18444
386,1010354,18443
387,1010354,18442
388,1010354,18441
389,1010354,18440
390,1010354,18439
391,1010354,18438
392,1010354,18003
393,1010354,18437
394,1010354,18436
395,1010354,18434
396,1010354,18433
397,1010354,18432
398,1010354,18431
399,1010354,23490
400,1010354,18430
401,1010354,23489
402,1010354,18429
403,1010354,16877
404,1010354,23488
405,1010354,18428
406,1010354,15227
407,1010354,23312
408,1010354,23487
409,1010354,23486
410,1010354,23311
411,1010354,23310
412,1010354,23485
413,1010354,23484
414,1010354,23309
415,1010354,23483
416,1010354,23308
417,1010354,23307
418,1010354,57830
419,1010354,18420
420,1010354,57829
421,1010354,57828
422,1010354,57827
423,1010354,9297
424,1010354,13195
425,1010354,9296
426,1010354,9295
427,1010354,10785
428,1010354,9294
429,1010354,9293
430,1010354,18451
431,1010354,9292
432,1010354,18446
433,1010354,18435
434,1010354,18413
435,1010354,18336
436,1010354,15524
437,1010354,20197
438,1010354,9290
439,1010354,20193
440,1010354,15183
441,1010354,20187
442,1010354,15182
443,1010354,10154
444,1010354,13812
445,1010354,13811
446,1010354,23513
447,1010354,12360
448,1010354,23512
449,1010354,13772
450,1010354,13754
451,1010354,12356
452,1010354,13742
453,1010354,13741
454,1010354,18884
455,1010354,13732
456,1010354,13731
457,1010354,10359
458,1010354,10342
459,1010354,12369
460,1010354,12368
461,1010354,12148
462,1010354,19535
463,1010354,19533
464,1010354,19676
465,1010354,11964
466,1010354,11963
467,1010354,12975
468,1010354,11962
469,1010354,11961
470,1010354,11960
471,1010354,11959
472,1010354,11972
473,1010354,22132
474,1010354,22131
475,1010354,22130
476,1010354,17166
477,1010354,8988
478,1010354,17200
479,1010354,11971
480,1010354,11970
481,1010354,11969
482,1010354,11968
483,1010354,11967
484,1010354,11966
485,1010354,11965
486,1010354,11958
487,1010354,10206
488,1010354,10195
348,1017851,80588
349,1017851,80587
350,1017851,80586
351,1017851,80585
352,1017851,80584
353,1017851,80582
354,1017851,80581
355,1017851,80578
356,1017851,91744
357,1017851,83996
358,1017851,83995
359,1017851,76360
360,1017851,76359
361,1017851,76358
362,1017851,76357
363,1017851,83994
364,1017851,83993
365,1017851,76356
366,1017851,83989
367,1017851,76355
368,1017851,77005
369,1017851,76354
370,1017851,76353
371,1017851,77003
372,1017851,76352
373,1017851,76351
374,1017851,76350
375,1017851,77001
376,1017851,76349
377,1012717,110287
378,1012717,101173
379,1012717,95788
380,1012717,95785
381,1012717,77235
382,1012717,60028
383,1012717,57094
384,1012717,21358
385,1012717,21510
386,1012717,21332
387,1012717,21182
388,1012717,17762
389,1012717,17758
390,1012717,17757
391,1012717,17756
392,1012717,17751
393,1012717,54978
394,1012717,54977
395,1012717,54974
396,1012717,18458
397,1012717,18460
398,1012717,13304
406,1011297,102553
407,1011297,96269
408,1011297,96267
409,1011297,96265
410,1011297,96239
411,1011297,94679
412,1011297,94678
413,1011297,94676
414,1011297,90345
415,1011297,90344
416,1011297,90343
417,1011297,90342
418,1011297,90341
419,1011297,90340
420,1011297,61430
421,1011297,45950
422,1011297,40024
423,1011297,38319
424,1011297,38318
425,1011297,39890
426,1011297,30518
427,1011297,26234
428,1011297,26233
429,1011297,24504
430,1011297,26232
431,1011297,24503
432,1011297,17353
433,1011297,16119
434,1011297,6309
435,1011297,6120
435,1011031,21845
436,1011031,5761
437,1011031,1649
438,1011031,394
439,1011031,17707
440,1011031,17706
441,1011031,17705
442,1011031,17704
443,1011031,17703
444,1011031,17716
445,1011031,17715
446,1011031,17714
447,1011031,17713
448,1011031,17712
449,1011031,17711
450,1011031,17710
451,1011031,17709
452,1011031,17702
464,1009150,100853
465,1009150,3357
466,1009150,3016
467,1009150,2439
468,1009150,2324
469,1009150,2438
470,1009150,2204
471,1009150,246
472,1009150,18074
473,1009150,18092
474,1009150,18082
475,1009150,18408
476,1009150,1023
477,1009150,14121
478,1009150,14110
479,1009150,14107
480,1009150,18176
481,1009150,18116
482,1009150,14211
483,1009150,18132
484,1009150,14190
485,1009150,14189
486,1009150,14186
487,1009150,14185
488,1009150,14184
489,1009150,14182
490,1009150,14183
491,1009150,14293
492,1009150,14282
493,1011198,83996
494,1011198,83995
495,1011198,83994
496,1011198,76984
497,1011198,76290
498,1011198,77001
499,1011198,77260
500,1011198,66661
501,1011198,60490
502,1011198,30040
503,1011198,30039
504,1011198,30037
505,1011198,30033
506,1011198,30286
507,1011198,33560
508,1011198,30284
509,1011198,29620
510,1011198,30760
511,1011198,24355
512,1011198,24354
513,1011198,27874
514,1011198,24363
515,1011198,24362
516,1011198,24361
517,1011198,27812
518,1011198,24360
519,1011198,24222
520,1011198,24221
521,1011198,24219
522,1011198,24016
523,1011198,24015
524,1011198,24017
525,1011198,23825
526,1011198,27402
527,1011198,23824
528,1011198,23659
529,1011198,23660
530,1011198,23004
531,1011198,6318
532,1011198,5842
533,1011198,5665
534,1011198,5404
535,1011198,5241
536,1011198,5089
537,1011198,4801
551,1011136,5589
552,1011136,4108
553,1011136,16331
554,1011136,16330
580,1011176,21707
581,1011176,21505
582,1011176,21324
583,1011176,21175
725,1011120,16489
754,1010836,79186
755,1010836,79185
756,1010836,79184
757,1010836,78439
758,1010836,65092
759,1010836,31372
760,1010836,31370
761,1010836,31368
762,1010836,31366
763,1010836,20697
764,1010836,17652
765,1010836,17417
766,1010836,17285
767,1010836,4060
768,1010836,3416
769,1010836,3207
770,1010836,3093
771,1010836,2565
783,1010755,70566
784,1010755,60754
785,1010755,1273
786,1010755,15075
787,1010755,15074
788,1010755,15073
789,1010755,15072
790,1010755,15071
791,1010755,15061
841,1009497,26285
899,1009435,98732
900,1009435,98731
901,1009435,69333
902,1009435,38977
903,1009435,38888
904,1009435,29604
905,1009435,17296
906,1009435,13535
907,1009435,2055
908,1009435,2089
909,1009435,1699
910,1009435,1497
911,1009435,1335
912,1009435,1290
913,1009435,483
914,1009435,343
915,1009435,16084
916,1009435,16083
917,1009435,16082
918,1009435,16081
919,1009435,18468
920,1009435,11914
921,1009435,15546
922,1009435,55278
923,1009435,55277
924,1009435,55276
925,1009435,55275
926,1009435,55274
927,1009435,55273
928,1009435,13221
929,1009435,13220
930,1009435,13158
931,1009435,13155
932,1009435,13153
933,1009435,13149
934,1009435,13148
935,1009435,13147
936,1009435,13146
937,1009435,13142
938,1009435,13141
939,1009435,18724
940,1009435,18752
941,1009435,18751
942,1009435,13068
943,1009435,13067
944,1009435,13064
945,1009435,13063
946,1009435,13062
947,1009435,13056
948,1009435,19506
949,1009435,19502
950,1009435,19501
951,1009435,19496
952,1009435,12973
953,1009435,12971
954,1009435,12970
955,1009435,12966
956,1009435,12965
957,1009435,8709
958,1009435,8707
959,1009435,8687
960,1009435,17460
928,1010370,106870
929,1010370,106868
930,1010370,93645
931,1010370,78870
932,1010370,77006
933,1010370,75170
934,1010370,73674
935,1010370,46752
936,1010370,67981
937,1010370,62126
938,1010370,65271
939,1010370,62125
940,1010370,65062
941,1010370,64972
942,1010370,61433
943,1010370,61432
944,1010370,61431
945,1010370,61428
946,1010370,60979
947,1010370,60626
948,1010370,56593
949,1010370,56592
950,1010370,59610
951,1010370,40622
952,1010370,40626
953,1010370,40628
954,1010370,40630
955,1010370,40803
956,1010370,40632
957,1010370,38571
958,1010370,38564
959,1010370,38566
960,1010370,38568
961,1010370,38567
962,1010370,39820
963,1010370,39818
964,1010370,38569
965,1010370,39819
966,1010370,37445
967,1010370,39654
968,1010370,39444
969,1010370,37067
970,1010370,20913
971,1010370,5280
972,1010370,1647
973,1010370,1558
974,1010370,1465
975,1010370,67
976,1010370,866
977,1010370,790
978,1010370,572
979,1010370,613
980,1010370,677
981,1010370,616
982,1010370,456
983,1010370,393
984,1010370,14118
985,1010370,11913
986,1010370,11910
987,1010370,14087
988,1010370,14085
989,1010370,14084
990,1010370,51013
991,1010370,51012
992,1010370,13896
993,1010370,7373
994,1010370,13324
995,1010370,18116
996,1010370,12672
997,1010370,12670
998,1010370,12669
999,1010370,12668
1000,1010370,12667
1001,1010370,12666
1002,1010370,12665
1003,1010370,12664
1004,1010370,12663
1005,1010370,12662
1006,1010370,12661
1007,1010370,12659
1008,1010370,12658
1009,1010370,12657
1010,1010370,12656
1011,1010370,12655
1012,1010370,12654
1013,1010370,12653
1014,1010370,13193
1015,1010370,12652
1016,1010370,12651
1017,1010370,12650
1018,1010370,12648
1019,1010370,12647
1020,1010370,12646
1021,1010370,12645
1022,1010370,12644
1023,1010370,12643
1024,1010370,12642
1025,1010370,12641
1026,1010370,12640
1027,1010370,12639
1028,1010370,12766
1029,1010370,12765
1030,1010370,12764
1031,1010370,12763
1032,1010370,12762
1033,1010370,12761
1034,1010370,12760
1035,1010370,12759
1036,1010370,12758
1037,1010370,12757
1038,1010370,7202
