,id,title,start,end,next,previous,modified
25,227,Age of Apocalypse,1995-03-01 00:00:00,1996-06-01 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/239', 'name': 'Crossing'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/219', 'name': 'Siege of Darkness'}",2014-06-13T11:42:39-0400
26,239,Crossing,1995-09-10 00:00:00,1996-02-10 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/154', 'name': 'Onslaught'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/227', 'name': 'Age of Apocalypse'}",2013-10-18T12:32:59-0400
27,154,Onslaught,1996-07-01 07:00:00,1996-10-24 07:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/37', 'name': 'Maximum Security'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/239', 'name': 'Crossing'}",2015-10-26T16:52:28-0400
28,37,Maximum Security,2000-12-01 00:00:00,2001-01-03 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/234', 'name': 'Avengers Disassembled'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/154', 'name': 'Onslaught'}",2013-06-25T13:54:17-0400
29,234,Avengers Disassembled,2004-07-28 00:00:00,2005-01-01 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/245', 'name': 'Enemy of the State'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/37', 'name': 'Maximum Security'}",2013-10-18T16:38:16-0400
30,245,Enemy of the State,2004-10-06 00:00:00,2005-02-11 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/251', 'name': 'House of M'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/234', 'name': 'Avengers Disassembled'}",2013-06-28T17:36:21-0400
31,251,House of M,2005-06-01 00:00:00,2005-11-28 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/266', 'name': 'Other - Evolve or Die'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/245', 'name': 'Enemy of the State'}",2013-06-26T16:48:31-0400
32,266,Other - Evolve or Die,2005-12-12 07:00:00,2006-03-21 07:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/212', 'name': 'Planet Hulk'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/251', 'name': 'House of M'}",2018-05-25T11:04:31-0400
33,212,Planet Hulk,2006-04-01 00:00:00,2007-06-02 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/238', 'name': 'Civil War'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/266', 'name': 'Other - Evolve or Die'}",2013-06-25T18:36:13-0400
34,238,Civil War,2006-07-01 00:00:00,2007-01-29 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/255', 'name': 'Initiative'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/212', 'name': 'Planet Hulk'}",2013-11-07T10:40:01-0500
35,255,Initiative,2007-04-15 00:00:00,2010-06-20 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/229', 'name': 'Annihilation'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/238', 'name': 'Civil War'}",2013-11-18T17:38:03-0500
36,293,Annihilation: Conquest,2007-06-20 00:00:00,2009-01-14 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/277', 'name': 'World War Hulk'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/229', 'name': 'Annihilation'}",2013-06-28T17:55:53-0400
37,229,Annihilation,2007-06-20 00:00:00,2008-06-01 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/293', 'name': 'Annihilation: Conquest'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/255', 'name': 'Initiative'}",2013-06-25T15:16:21-0400
38,277,World War Hulk,2007-07-01 00:00:00,2008-01-01 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/60', 'name': 'World War Hulks'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/293', 'name': 'Annihilation: Conquest'}",2013-07-01T22:43:23-0400
39,60,World War Hulks,2007-07-07 00:00:00,2008-01-27 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/299', 'name': 'Messiah CompleX'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/277', 'name': 'World War Hulk'}",2017-04-18T17:52:24-0400
40,299,Messiah CompleX,2007-10-31 00:00:00,2008-01-30 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/269', 'name': 'Secret Invasion'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/60', 'name': 'World War Hulks'}",2013-06-25T15:24:14-0400
41,269,Secret Invasion,2008-06-02 00:00:00,2009-01-25 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/318', 'name': 'Dark Reign'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/299', 'name': 'Messiah CompleX'}",2015-01-20T14:58:35-0500
42,318,Dark Reign,2008-12-01 00:00:00,2009-12-31 12:59:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/276', 'name': 'War of Kings'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/269', 'name': 'Secret Invasion'}",2013-11-20T12:51:39-0500
43,276,War of Kings,2009-03-07 00:00:00,2009-08-12 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/298', 'name': 'Messiah War'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/318', 'name': 'Dark Reign'}",2013-06-28T18:11:14-0400
44,298,Messiah War,2009-05-01 00:00:00,2009-07-23 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/297', 'name': 'Fall of the Hulks'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/276', 'name': 'War of Kings'}",2013-06-26T16:27:22-0400
45,297,Fall of the Hulks,2009-12-03 00:00:00,2010-04-20 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/273', 'name': 'Siege'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/298', 'name': 'Messiah War'}",2013-10-18T12:33:23-0400
46,273,Siege,2009-12-06 00:00:00,2010-05-19 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/295', 'name': 'Realm of Kings'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/297', 'name': 'Fall of the Hulks'}",2013-07-01T22:16:04-0400
47,295,Realm of Kings,2010-01-11 00:00:00,2010-05-21 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/279', 'name': 'X-Men: Second Coming'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/273', 'name': 'Siege'}",2013-06-25T18:14:50-0400
48,279,X-Men: Second Coming,2010-03-31 00:00:00,2010-07-23 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/287', 'name': 'Heroic Age'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/295', 'name': 'Realm of Kings'}",2016-08-09T17:21:39-0400
