,char_id,com_id
0,1011334,22506
1,1011334,22300
2,1011334,22299
3,1011334,21975
4,1011334,21741
5,1011334,21546
6,1011334,24571
7,1011334,21366
8,1011334,8500
9,1011334,10225
10,1011334,10224
11,1011334,10223
12,1017100,47176
13,1017100,40628
14,1017100,40630
15,1017100,40632
16,1009144,103120
17,1009144,103371
18,1009144,92308
19,1009144,92307
20,1009144,65941
21,1009144,65466
22,1009144,65357
23,1009144,63220
24,1009144,63219
25,1009144,63218
26,1009144,63217
27,1009144,48818
28,1009144,48817
29,1009144,48816
30,1009144,46168
31,1009144,43944
32,1009144,36737
33,1009144,36972
34,1009144,36763
35,1009144,31068
36,1009144,4214
37,1009144,2110
38,1009144,2820
39,1009144,2001
40,1009144,2319
41,1009144,1214
42,1009144,1205
43,1009144,1170
44,1009144,17553
45,1009144,14225
46,1009144,1130
47,1009144,1164
48,1009144,12787
49,1009144,1090
50,1009144,13893
51,1009144,9546
52,1009144,9545
53,1009144,9544
54,1009144,20367
55,1009144,7340
56,1009144,7514
57,1009144,7513
58,1009144,11346
59,1009144,11342
60,1009144,11341
61,1009144,11328
62,1009144,11070
63,1009144,11326
64,1009144,11069
65,1009144,11324
66,1009144,11068
67,1009144,17468
68,1010699,40786
69,1010699,40787
70,1010699,40778
71,1010699,40774
72,1010699,40773
73,1010699,40776
74,1010699,38073
75,1010699,11905
76,1010699,11904
77,1010699,11903
78,1010699,11913
79,1010699,11912
80,1010699,11911
81,1010699,11910
82,1009146,94083
83,1009146,94081
84,1009146,60446
85,1009146,60692
86,1009146,59511
87,1009146,34050
88,1009146,31236
89,1009146,29541
90,1009146,20863
91,1009146,15894
92,1009146,15908
93,1009146,5199
94,1009146,4241
95,1009146,3435
96,1009146,2499
97,1009146,2577
98,1009146,1187
99,1009146,1153
100,1009146,14454
101,1009146,14453
102,1009146,14451
103,1009146,1098
104,1009146,17548
105,1009146,19939
106,1009146,14450
107,1009146,17547
108,1009146,19938
109,1009146,19857
110,1009146,14428
111,1009146,14425
112,1009146,14424
113,1009146,8557
114,1009146,14384
115,1009146,13911
116,1009146,9285
117,1009146,9284
118,1009146,9283
119,1009146,14366
120,1009146,9270
121,1009146,9243
122,1009146,16877
123,1009146,9195
124,1009146,15522
125,1009146,9194
126,1009146,9193
127,1009146,9177
128,1009146,9175
129,1009146,9125
130,1009146,9011
131,1009146,9007
132,1009146,9006
133,1009146,9005
134,1009146,8982
135,1009146,8948
136,1009146,11439
137,1016823,40638
138,1016823,15717
139,1009148,91714
140,1009148,91713
141,1009148,91712
142,1009148,91711
143,1009148,91710
144,1009148,68619
145,1009148,67140
146,1009148,66777
147,1009148,65327
148,1009148,66533
149,1009148,64278
150,1009148,63662
151,1009148,55857
152,1009148,55856
153,1009148,55855
154,1009148,55854
155,1009148,55853
156,1009148,55851
157,1009148,55849
158,1009148,43507
159,1009148,36484
160,1009148,36479
161,1009148,38452
162,1009148,36480
163,1009148,39848
164,1009148,41433
165,1009148,36481
166,1009148,39536
167,1009148,39537
168,1009148,29795
169,1009148,40977
170,1009148,29794
171,1009148,29474
172,1009148,26285
173,1009148,25977
174,1009148,25976
175,1009148,17685
176,1009148,16625
177,1009148,15902
178,1009148,6277
179,1009148,5985
180,1009148,5234
181,1009148,2542
182,1009148,18810
183,1009148,14459
184,1009148,14458
185,1009148,14457
186,1009148,14456
187,1009148,18682
188,1009148,18681
189,1009148,10498
190,1009148,1023
191,1009148,10493
192,1009148,10492
193,1009148,11905
194,1009148,11904
195,1009148,11903
196,1009148,14108
197,1009148,11908
198,1009148,18650
199,1009148,8499
200,1009148,18649
201,1009148,18648
202,1009148,12783
203,1009148,1072
204,1009148,15541
205,1009148,18636
206,1009148,62015
207,1009148,51044
208,1009148,11818
209,1009148,15516
210,1009148,11764
211,1009148,17776
212,1009148,13151
213,1009148,9159
214,1009148,9158
215,1009148,11704
216,1009148,11703
217,1009148,7142
218,1009148,10589
219,1009148,10588
220,1009148,10580
221,1009148,20428
222,1009148,20427
223,1009148,9072
224,1009148,7046
225,1009148,7045
226,1009148,11535
227,1009148,11534
228,1009148,8936
229,1009148,9699
230,1009148,9698
231,1009148,9697
232,1009148,9696
233,1009148,9690
234,1009148,9689
235,1009148,17469
236,1009149,2539
237,1009149,13972
238,1009149,13970
239,1009149,13947
240,1009149,13946
241,1009149,13945
242,1009149,13943
243,1009149,12386
244,1010903,2539
245,1010903,18099
246,1010903,12386
247,1010354,106817
248,1010354,106816
249,1010354,106815
250,1010354,106814
251,1010354,103119
252,1010354,105920
253,1010354,109106
254,1010354,109103
255,1010354,109107
256,1010354,106810
257,1010354,105140
258,1010354,73526
259,1010354,71572
260,1010354,76749
261,1010354,73554
262,1010354,72781
263,1010354,74762
264,1010354,67151
265,1010354,70422
266,1010354,67147
267,1010354,23033
268,1010354,67349
269,1010354,68656
270,1010354,68653
271,1010354,67022
272,1010354,66964
273,1010354,66684
274,1010354,66801
275,1010354,62151
276,1010354,66429
277,1010354,66436
278,1010354,66425
279,1010354,66428
280,1010354,66435
281,1010354,66283
282,1010354,66158
283,1010354,65547
284,1010354,60482
285,1010354,60442
286,1010354,60678
287,1010354,36073
288,1010354,25305
289,1010354,21016
290,1010354,21081
291,1010354,20885
292,1010354,20731
293,1010354,20686
294,1010354,17645
295,1010354,17405
296,1010354,17271
297,1010354,16222
298,1010354,15902
299,1010354,5858
300,1010354,5637
301,1010354,4241
302,1010354,1903
303,1010354,1607
304,1010354,1451
305,1010354,53
306,1010354,879
307,1010354,813
308,1010354,1289
309,1010354,1292
310,1010354,171
311,1010354,173
312,1010354,1210
313,1010354,175
314,1010354,176
315,1010354,1185
316,1010354,10328
317,1010354,1152
318,1010354,1033
319,1010354,10497
320,1010354,10492
321,1010354,11905
322,1010354,11904
323,1010354,18468
324,1010354,8550
325,1010354,17944
326,1010354,18066
327,1010354,12412
328,1010354,14384
329,1010354,13911
330,1010354,14382
331,1010354,8552
332,1010354,62627
333,1010354,62626
334,1010354,62625
335,1010354,62624
336,1010354,21141
337,1010354,18017
338,1010354,18449
339,1010354,18448
340,1010354,18447
341,1010354,18445
342,1010354,18444
343,1010354,18443
344,1010354,18442
345,1010354,18441
346,1010354,18440
347,1010354,18439
348,1010354,18438
349,1010354,18003
350,1010354,18437
351,1010354,18436
352,1010354,18434
353,1010354,18433
354,1010354,18432
355,1010354,18431
356,1010354,23490
357,1010354,18430
358,1010354,23489
359,1010354,18429
360,1010354,16877
361,1010354,23488
362,1010354,18428
363,1010354,15227
364,1010354,23312
365,1010354,23487
366,1010354,23486
367,1010354,23311
368,1010354,23310
369,1010354,23485
370,1010354,23484
371,1010354,23309
372,1010354,23483
373,1010354,23308
374,1010354,23307
375,1010354,57830
376,1010354,18420
377,1010354,57829
378,1010354,57828
379,1010354,57827
380,1010354,9297
381,1010354,13195
382,1010354,9296
383,1010354,9295
384,1010354,10785
385,1010354,9294
386,1010354,9293
387,1010354,18451
388,1010354,9292
389,1010354,18446
390,1010354,18435
391,1010354,18413
392,1010354,18336
393,1010354,15524
394,1010354,20197
395,1010354,9290
396,1010354,20193
397,1010354,15183
398,1010354,20187
399,1010354,15182
400,1010354,10154
401,1010354,13812
402,1010354,13811
403,1010354,23513
404,1010354,12360
405,1010354,23512
406,1010354,13772
407,1010354,13754
408,1010354,12356
409,1010354,13742
410,1010354,13741
411,1010354,18884
412,1010354,13732
413,1010354,13731
414,1010354,10359
415,1010354,10342
416,1010354,12369
417,1010354,12368
418,1010354,12148
419,1010354,19535
420,1010354,19533
421,1010354,19676
422,1010354,11964
423,1010354,11963
424,1010354,12975
425,1010354,11962
426,1010354,11961
427,1010354,11960
428,1010354,11959
429,1010354,11972
430,1010354,22132
431,1010354,22131
432,1010354,22130
433,1010354,17166
434,1010354,8988
435,1010354,17200
436,1010354,11971
437,1010354,11970
438,1010354,11969
439,1010354,11968
440,1010354,11967
441,1010354,11966
442,1010354,11965
443,1010354,11958
444,1010354,10206
445,1010354,10195
446,1017851,80588
447,1017851,80587
448,1017851,80586
449,1017851,80585
450,1017851,80584
451,1017851,80582
452,1017851,80581
453,1017851,80578
454,1017851,91744
455,1017851,83996
456,1017851,83995
457,1017851,76360
458,1017851,76359
459,1017851,76358
460,1017851,76357
461,1017851,83994
462,1017851,83993
463,1017851,76356
464,1017851,83989
465,1017851,76355
466,1017851,77005
467,1017851,76354
468,1017851,76353
469,1017851,77003
470,1017851,76352
471,1017851,76351
472,1017851,76350
473,1017851,77001
474,1017851,76349
475,1012717,110287
476,1012717,101173
477,1012717,95788
478,1012717,95785
479,1012717,77235
480,1012717,60028
481,1012717,57094
482,1012717,21358
483,1012717,21510
484,1012717,21332
485,1012717,21182
486,1012717,17762
487,1012717,17758
488,1012717,17757
489,1012717,17756
490,1012717,17751
491,1012717,54978
492,1012717,54977
493,1012717,54974
494,1012717,18458
495,1012717,18460
496,1012717,13304
497,1011297,102553
498,1011297,96269
499,1011297,96267
500,1011297,96265
501,1011297,96239
502,1011297,94679
503,1011297,94678
504,1011297,94676
505,1011297,90345
506,1011297,90344
507,1011297,90343
508,1011297,90342
509,1011297,90341
510,1011297,90340
511,1011297,61430
512,1011297,45950
513,1011297,40024
514,1011297,38319
515,1011297,38318
516,1011297,39890
517,1011297,30518
518,1011297,26234
519,1011297,26233
520,1011297,24504
521,1011297,26232
522,1011297,24503
523,1011297,17353
524,1011297,16119
525,1011297,6309
526,1011297,6120
527,1011031,21845
528,1011031,5761
529,1011031,1649
530,1011031,394
531,1011031,17707
532,1011031,17706
533,1011031,17705
534,1011031,17704
535,1011031,17703
536,1011031,17716
537,1011031,17715
538,1011031,17714
539,1011031,17713
540,1011031,17712
541,1011031,17711
542,1011031,17710
543,1011031,17709
544,1011031,17702
545,1009150,100853
546,1009150,3357
547,1009150,3016
548,1009150,2439
549,1009150,2324
550,1009150,2438
551,1009150,2204
552,1009150,246
553,1009150,18074
554,1009150,18092
555,1009150,18082
556,1009150,18408
557,1009150,1023
558,1009150,14121
559,1009150,14110
560,1009150,14107
561,1009150,18176
562,1009150,18116
563,1009150,14211
564,1009150,18132
565,1009150,14190
566,1009150,14189
567,1009150,14186
568,1009150,14185
569,1009150,14184
570,1009150,14182
571,1009150,14183
572,1009150,14293
573,1009150,14282
574,1011198,83996
575,1011198,83995
576,1011198,83994
577,1011198,76984
578,1011198,76290
579,1011198,77001
580,1011198,77260
581,1011198,66661
582,1011198,60490
583,1011198,30040
584,1011198,30039
585,1011198,30037
586,1011198,30033
587,1011198,30286
588,1011198,33560
589,1011198,30284
590,1011198,29620
591,1011198,30760
592,1011198,24355
593,1011198,24354
594,1011198,27874
595,1011198,24363
596,1011198,24362
597,1011198,24361
598,1011198,27812
599,1011198,24360
600,1011198,24222
601,1011198,24221
602,1011198,24219
603,1011198,24016
604,1011198,24015
605,1011198,24017
606,1011198,23825
607,1011198,27402
608,1011198,23824
609,1011198,23659
610,1011198,23660
611,1011198,23004
612,1011198,6318
613,1011198,5842
614,1011198,5665
615,1011198,5404
616,1011198,5241
617,1011198,5089
618,1011198,4801
619,1011136,5589
620,1011136,4108
621,1011136,16331
622,1011136,16330
623,1011176,21707
624,1011176,21505
625,1011176,21324
626,1011176,21175
627,1011120,16489
628,1010836,79186
629,1010836,79185
630,1010836,79184
631,1010836,78439
632,1010836,65092
633,1010836,31372
634,1010836,31370
635,1010836,31368
636,1010836,31366
637,1010836,20697
638,1010836,17652
639,1010836,17417
640,1010836,17285
641,1010836,4060
642,1010836,3416
643,1010836,3207
644,1010836,3093
645,1010836,2565
646,1010755,70566
647,1010755,60754
648,1010755,1273
649,1010755,15075
650,1010755,15074
651,1010755,15073
652,1010755,15072
653,1010755,15071
654,1010755,15061
655,1009497,26285
656,1009435,98732
657,1009435,98731
658,1009435,69333
659,1009435,38977
660,1009435,38888
661,1009435,29604
662,1009435,17296
663,1009435,13535
664,1009435,2055
665,1009435,2089
666,1009435,1699
667,1009435,1497
668,1009435,1335
669,1009435,1290
670,1009435,483
671,1009435,343
672,1009435,16084
673,1009435,16083
674,1009435,16082
675,1009435,16081
676,1009435,18468
677,1009435,11914
678,1009435,15546
679,1009435,55278
680,1009435,55277
681,1009435,55276
682,1009435,55275
683,1009435,55274
684,1009435,55273
685,1009435,13221
686,1009435,13220
687,1009435,13158
688,1009435,13155
689,1009435,13153
690,1009435,13149
691,1009435,13148
692,1009435,13147
693,1009435,13146
694,1009435,13142
695,1009435,13141
696,1009435,18724
697,1009435,18752
698,1009435,18751
699,1009435,13068
700,1009435,13067
701,1009435,13064
702,1009435,13063
703,1009435,13062
704,1009435,13056
705,1009435,19506
706,1009435,19502
707,1009435,19501
708,1009435,19496
709,1009435,12973
710,1009435,12971
711,1009435,12970
712,1009435,12966
713,1009435,12965
714,1009435,8709
715,1009435,8707
716,1009435,8687
717,1009435,17460
718,1010370,106870
719,1010370,106868
720,1010370,93645
721,1010370,78870
722,1010370,77006
723,1010370,75170
724,1010370,73674
725,1010370,46752
726,1010370,67981
727,1010370,62126
728,1010370,65271
729,1010370,62125
730,1010370,65062
731,1010370,64972
732,1010370,61433
733,1010370,61432
734,1010370,61431
735,1010370,61428
736,1010370,60979
737,1010370,60626
738,1010370,56593
739,1010370,56592
740,1010370,59610
741,1010370,40622
742,1010370,40626
743,1010370,40628
744,1010370,40630
745,1010370,40803
746,1010370,40632
747,1010370,38571
748,1010370,38564
749,1010370,38566
750,1010370,38568
751,1010370,38567
752,1010370,39820
753,1010370,39818
754,1010370,38569
755,1010370,39819
756,1010370,37445
757,1010370,39654
758,1010370,39444
759,1010370,37067
760,1010370,20913
761,1010370,5280
762,1010370,1647
763,1010370,1558
764,1010370,1465
765,1010370,67
766,1010370,866
767,1010370,790
768,1010370,572
769,1010370,613
770,1010370,677
771,1010370,616
772,1010370,456
773,1010370,393
774,1010370,14118
775,1010370,11913
776,1010370,11910
777,1010370,14087
778,1010370,14085
779,1010370,14084
780,1010370,51013
781,1010370,51012
782,1010370,13896
783,1010370,7373
784,1010370,13324
785,1010370,18116
786,1010370,12672
787,1010370,12670
788,1010370,12669
789,1010370,12668
790,1010370,12667
791,1010370,12666
792,1010370,12665
793,1010370,12664
794,1010370,12663
795,1010370,12662
796,1010370,12661
797,1010370,12659
798,1010370,12658
799,1010370,12657
800,1010370,12656
801,1010370,12655
802,1010370,12654
803,1010370,12653
804,1010370,13193
805,1010370,12652
806,1010370,12651
807,1010370,12650
808,1010370,12648
809,1010370,12647
810,1010370,12646
811,1010370,12645
812,1010370,12644
813,1010370,12643
814,1010370,12642
815,1010370,12641
816,1010370,12640
817,1010370,12639
818,1010370,12766
819,1010370,12765
820,1010370,12764
821,1010370,12763
822,1010370,12762
823,1010370,12761
824,1010370,12760
825,1010370,12759
826,1010370,12758
827,1010370,12757
828,1010370,7202
829,1010370,12755
830,1010370,7201
831,1010370,12754
832,1010370,7200
